"btype", "mg","ipow","ttc","ptc","psz"
"3","4.0000000000000003e-07","1360000000","24.97","2497","2"
"3","4.0000000000000003e-07","1360000000","24.5507","2455","4"
"3","4.0000000000000003e-07","1360000000","23.7508","2375","8"
"3","4.0000000000000003e-07","1360000000","22.3108","2231","16"
"3","4.0000000000000003e-07","1360000000","19.891","1989","32"
"3","4.0000000000000003e-07","1360000000","16.3512","1635","64"
"3","4.0000000000000003e-07","1360000000","12.0517","1205","128"
"3","4.0000000000000003e-07","1360000000","7.90275","790","256"
"3","4.0000000000000003e-07","1360000000","4.6748","467","512"
"3","4.0000000000000003e-07","1360000000","2.5789","257","1024"
"3","5e-07","1700000000","31.4807","3148","1"
"3","5e-07","1700000000","31.2107","3121","2"
"3","5e-07","1700000000","30.6907","3069","4"
"3","5e-07","1700000000","29.7008","2970","8"
"3","5e-07","1700000000","27.8908","2789","16"
"3","5e-07","1700000000","24.871","2487","32"
"3","5e-07","1700000000","20.4412","2044","64"
"3","5e-07","1700000000","15.0717","1507","128"
"3","5e-07","1700000000","9.88275","988","256"
"3","5e-07","1700000000","5.8548","585","512"
"3","5e-07","1700000000","3.2289","322","1024"
"3","6e-07","2040000000","37.7807","3778","1"
"3","6e-07","2040000000","37.4607","3746","2"
"3","6e-07","2040000000","36.84","3684","4"
"3","6e-07","2040000000","35.6408","3564","8"
"3","6e-07","2040000000","33.4808","3348","16"
"3","6e-07","2040000000","29.851","2985","32"
"3","6e-07","2040000000","24.5312","2453","64"
"3","6e-07","2040000000","18.0817","1808","128"
"3","6e-07","2040000000","11.8528","1185","256"
"3","6e-07","2040000000","7.0248","702","512"
"3","6e-07","2040000000","3.8689","386","1024"
"3","7.000000000000001e-07","2380000000","44.09","4409","1"
"3","7.000000000000001e-07","2380000000","43.7107","4371","2"
"3","7.000000000000001e-07","2380000000","42.9807","4298","4"
"3","7.000000000000001e-07","2380000000","41.5908","4159","8"
"3","7.000000000000001e-07","2380000000","39.0608","3906","16"
"3","7.000000000000001e-07","2380000000","34.831","3483","32"
"3","7.000000000000001e-07","2380000000","28.6212","2862","64"
"3","7.000000000000001e-07","2380000000","21.1017","2110","128"
"3","7.000000000000001e-07","2380000000","13.8328","1383","256"
"3","7.000000000000001e-07","2380000000","8.1948","819","512"
"3","7.000000000000001e-07","2380000000","4.5189","451","1024"
"3","8.000000000000001e-07","2720000000","50.3907","5039","1"
"3","8.000000000000001e-07","2720000000","49.9607","4996","2"
"3","8.000000000000001e-07","2720000000","49.1207","4912","4"
"3","8.000000000000001e-07","2720000000","47.5308","4753","8"
"3","8.000000000000001e-07","2720000000","44.65","4465","16"
"3","8.000000000000001e-07","2720000000","39.81","3981","32"
"3","8.000000000000001e-07","2720000000","32.7112","3271","64"
"3","8.000000000000001e-07","2720000000","24.1217","2412","128"
"3","8.000000000000001e-07","2720000000","15.8128","1581","256"
"3","8.000000000000001e-07","2720000000","9.3648","936","512"
"3","8.000000000000001e-07","2720000000","5.1589","515","1024"
"3","9.000000000000001e-07","3060000000","56.6907","5669","1"
"3","9.000000000000001e-07","3060000000","56.2107","5621","2"
"3","9.000000000000001e-07","3060000000","55.2707","5527","4"
"3","9.000000000000001e-07","3060000000","53.4808","5348","8"
"3","9.000000000000001e-07","3060000000","50.2308","5023","16"
"3","9.000000000000001e-07","3060000000","44.79","4479","32"
"3","9.000000000000001e-07","3060000000","36.81","3681","64"
"3","9.000000000000001e-07","3060000000","27.14","2714","128"
"3","9.000000000000001e-07","3060000000","17.7928","1779","256"
"3","9.000000000000001e-07","3060000000","10.5348","1053","512"
"3","9.000000000000001e-07","3060000000","5.8089","580","1024"
"3","1e-06","3400000000","62.9907","6299","1"
"3","1e-06","3400000000","62.46","6246","2"
"3","1e-06","3400000000","61.4107","6141","4"
"3","1e-06","3400000000","59.43","5943","8"
"3","1e-06","3400000000","55.8108","5581","16"
"3","1e-06","3400000000","49.761","4976","32"
"3","1e-06","3400000000","40.9012","4090","64"
"3","1e-06","3400000000","30.1517","3015","128"
"3","1e-06","3400000000","19.77","1977","256"
"3","1e-06","3400000000","11.7048","1170","512"
"3","1e-06","3400000000","6.4489","644","1024"
"4","1.0000000000000001e-07","140000000","2.57","257","1"
"4","1.0000000000000001e-07","140000000","2.54072","254","2"
"4","1.0000000000000001e-07","140000000","2.50074","250","4"
