"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"633",1024,2.625,2.5,2.5,10058,1,0.101809505
"635",1024,2.625,2.5,2.5,20058,1,0.051051949
"637",1024,2.625,2.5,2.5,30058,2,0.068134939
"639",1024,2.625,2.5,2.5,40058,2,0.051125867
"641",1024,2.625,2.5,2.5,50058,3,0.061368812
"643",1024,2.625,2.5,2.5,60058,3,0.051150554
"645",1024,2.625,2.5,2.5,70058,4,0.058465843
"647",1024,2.625,2.5,2.5,80058,4,0.051162907
"649",1024,2.625,2.5,3.3,58,1,17.65517241
"651",1024,2.625,2.5,3.3,10058,1,0.101809505
"653",1024,2.625,2.5,3.3,20058,1,0.051051949
"655",1024,2.625,2.5,3.3,30058,2,0.068134939
"657",1024,2.625,2.5,3.3,40058,2,0.051125867
"659",1024,2.625,2.5,3.3,50058,2,0.040912541
"661",1024,2.625,2.5,3.3,60058,3,0.051150554
"663",1024,2.625,2.5,3.3,70058,3,0.043849382
"665",1024,2.625,2.5,3.3,80058,3,0.03837218
"667",1024,2.625,2.5,4.1,58,1,17.65517241
"669",1024,2.625,2.5,4.1,10058,1,0.101809505
"671",1024,2.625,2.5,4.1,20058,1,0.051051949
"673",1024,2.625,2.5,4.1,30058,1,0.03406747
"675",1024,2.625,2.5,4.1,40058,2,0.051125867
"677",1024,2.625,2.5,4.1,50058,2,0.040912541
"679",1024,2.625,2.5,4.1,60058,2,0.03410037
"681",1024,2.625,2.5,4.1,70058,3,0.043849382
"683",1024,2.625,2.5,4.1,80058,3,0.03837218
"685",1024,2.625,2.5,4.9,58,1,17.65517241
"687",1024,2.625,2.5,4.9,10058,1,0.101809505
"689",1024,2.625,2.5,4.9,20058,1,0.051051949
"691",1024,2.625,2.5,4.9,30058,1,0.03406747
"693",1024,2.625,2.5,4.9,40058,1,0.025562934
"695",1024,2.625,2.5,4.9,50058,2,0.040912541
"697",1024,2.625,2.5,4.9,60058,2,0.03410037
"699",1024,2.625,2.5,4.9,70058,2,0.029232921
"701",1024,2.625,2.5,4.9,80058,2,0.025581453
"703",1024,2.625,2.5,5.7,58,1,17.65517241
"705",1024,2.625,2.5,5.7,10058,1,0.101809505
"707",1024,2.625,2.5,5.7,20058,1,0.051051949
"709",1024,2.625,2.5,5.7,30058,1,0.03406747
"711",1024,2.625,2.5,5.7,40058,1,0.025562934
"713",1024,2.625,2.5,5.7,50058,2,0.040912541
"715",1024,2.625,2.5,5.7,60058,2,0.03410037
"717",1024,2.625,2.5,5.7,70058,2,0.029232921
"719",1024,2.625,2.5,5.7,80058,2,0.025581453
"721",1024,5.125,0.1,0.1,58,3,52.96551724
"723",1024,5.125,0.1,0.1,10058,494,50.29389541
"725",1024,5.125,0.1,0.1,20058,985,50.28617011
"727",1024,5.125,0.1,0.1,30058,1476,50.28358507
"729",1024,5.125,0.1,0.1,40058,1966,50.25672774
"731",1024,5.125,0.1,0.1,50058,2457,50.26105717
"733",1024,5.125,0.1,0.1,60058,2948,50.26394485
"735",1024,5.125,0.1,0.1,70058,3438,50.2513917
"737",1024,5.125,0.1,0.1,80058,3929,50.2547653
"739",1024,5.125,0.1,0.9,58,1,17.65517241
"741",1024,5.125,0.1,0.9,10058,55,5.599522768
"743",1024,5.125,0.1,0.9,20058,110,5.615714428
"745",1024,5.125,0.1,0.9,30058,164,5.587065008
"747",1024,5.125,0.1,0.9,40058,219,5.59828249
"749",1024,5.125,0.1,0.9,50058,273,5.584561908
"751",1024,5.125,0.1,0.9,60058,328,5.592460621
"753",1024,5.125,0.1,0.9,70058,382,5.583487967
"755",1024,5.125,0.1,0.9,80058,437,5.589547578
"757",1024,5.125,0.1,1.7,58,1,17.65517241
"759",1024,5.125,0.1,1.7,10058,30,3.054285146
"761",1024,5.125,0.1,1.7,20058,58,2.961013062
"763",1024,5.125,0.1,1.7,30058,87,2.963869852
"765",1024,5.125,0.1,1.7,40058,116,2.965300315
"767",1024,5.125,0.1,1.7,50058,145,2.966159255
"769",1024,5.125,0.1,1.7,60058,174,2.966732159
"771",1024,5.125,0.1,1.7,70058,203,2.967141511
"773",1024,5.125,0.1,1.7,80058,232,2.9674486
"775",1024,5.125,0.1,2.5,58,1,17.65517241
"777",1024,5.125,0.1,2.5,10058,20,2.036190097
"779",1024,5.125,0.1,2.5,20058,40,2.042077974
"781",1024,5.125,0.1,2.5,30058,60,2.044048174
"783",1024,5.125,0.1,2.5,40058,79,2.019471766
"785",1024,5.125,0.1,2.5,50058,99,2.025170802
"787",1024,5.125,0.1,2.5,60058,118,2.011921809
"789",1024,5.125,0.1,2.5,70058,138,2.017071569
"791",1024,5.125,0.1,2.5,80058,158,2.020934822
"793",1024,5.125,0.1,3.3,58,1,17.65517241
"795",1024,5.125,0.1,3.3,10058,15,1.527142573
"797",1024,5.125,0.1,3.3,20058,30,1.53155848
"799",1024,5.125,0.1,3.3,30058,45,1.53303613
"801",1024,5.125,0.1,3.3,40058,60,1.533776025
"803",1024,5.125,0.1,3.3,50058,75,1.534220304
"805",1024,5.125,0.1,3.3,60058,90,1.534516634
"807",1024,5.125,0.1,3.3,70058,105,1.534728368
"809",1024,5.125,0.1,3.3,80058,120,1.534887207
"811",1024,5.125,0.1,4.1,58,1,17.65517241
"813",1024,5.125,0.1,4.1,10058,13,1.323523563
"815",1024,5.125,0.1,4.1,20058,25,1.276298734
"817",1024,5.125,0.1,4.1,30058,36,1.226428904
"819",1024,5.125,0.1,4.1,40058,48,1.22702082
"821",1024,5.125,0.1,4.1,50058,60,1.227376244
"823",1024,5.125,0.1,4.1,60058,72,1.227613307
"825",1024,5.125,0.1,4.1,70058,84,1.227782694
"827",1024,5.125,0.1,4.1,80058,96,1.227909765
"829",1024,5.125,0.1,4.9,58,1,17.65517241
"831",1024,5.125,0.1,4.9,10058,11,1.119904554
"833",1024,5.125,0.1,4.9,20058,21,1.072090936
"835",1024,5.125,0.1,4.9,30058,31,1.056091556
"837",1024,5.125,0.1,4.9,40058,41,1.048080284
"839",1024,5.125,0.1,4.9,50058,51,1.043269807
"841",1024,5.125,0.1,4.9,60058,61,1.040061274
"843",1024,5.125,0.1,4.9,70058,71,1.037768706
"845",1024,5.125,0.1,4.9,80058,81,1.036048865
"847",1024,5.125,0.1,5.7,58,1,17.65517241
"849",1024,5.125,0.1,5.7,10058,9,0.916285544
"851",1024,5.125,0.1,5.7,20058,18,0.918935088
"853",1024,5.125,0.1,5.7,30058,26,0.885754209
"855",1024,5.125,0.1,5.7,40058,35,0.894702681
"857",1024,5.125,0.1,5.7,50058,44,0.900075912
"859",1024,5.125,0.1,5.7,60058,52,0.886609611
"861",1024,5.125,0.1,5.7,70058,61,0.891604099
"863",1024,5.125,0.1,5.7,80058,69,0.882560144
"865",1024,5.125,0.9,0.1,58,3,52.96551724
"867",1024,5.125,0.9,0.1,10058,415,42.25094452
"869",1024,5.125,0.9,0.1,20058,828,42.27101406
"871",1024,5.125,0.9,0.1,30058,1241,42.27772972
"873",1024,5.125,0.9,0.1,40058,1653,42.25552948
"875",1024,5.125,0.9,0.1,50058,2066,42.26265532
"877",1024,5.125,0.9,0.1,60058,2478,42.25035799
"879",1024,5.125,0.9,0.1,70058,2891,42.25618773
"881",1024,5.125,0.9,0.1,80058,3304,42.26056109
"883",1024,5.125,0.9,0.9,58,1,17.65517241
"885",1024,5.125,0.9,0.9,10058,47,4.785046729
"887",1024,5.125,0.9,0.9,20058,92,4.69677934
"889",1024,5.125,0.9,0.9,30058,138,4.701310799
"891",1024,5.125,0.9,0.9,40058,184,4.703579809
"893",1024,5.125,0.9,0.9,50058,230,4.704942267
"895",1024,5.125,0.9,0.9,60058,276,4.705851011
"897",1024,5.125,0.9,0.9,70058,322,4.706500328
"899",1024,5.125,0.9,0.9,80058,368,4.706987434
"901",1024,5.125,0.9,1.7,58,1,17.65517241
"903",1024,5.125,0.9,1.7,10058,25,2.545237622
"905",1024,5.125,0.9,1.7,20058,49,2.501545518
"907",1024,5.125,0.9,1.7,30058,73,2.486925278
"909",1024,5.125,0.9,1.7,40058,98,2.505167507
"911",1024,5.125,0.9,1.7,50058,122,2.495665029
"913",1024,5.125,0.9,1.7,60058,146,2.489326984
